"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-23","2021","01","23","","-4.0","","-10.6","","-7.3","","25.3","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-24","2021","01","24","","-1.8","","-6.2","","-4.0","","22.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-25","2021","01","25","","2.3","","-2.1","","0.1","","17.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-26","2021","01","26","","0.9","","-3.9","","-1.5","","19.5","","0.0","","","","","","8.7","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-27","2021","01","27","","-2.5","","-8.3","","-5.4","","23.4","","0.0","","","","","","0.0","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-28","2021","01","28","","-6.7","","-12.1","","-9.4","","27.4","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-29","2021","01","29","","-6.6","","-12.2","","-9.4","","27.4","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-30","2021","01","30","","-2.0","","-10.5","","-6.3","","24.3","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-31","2021","01","31","","-4.2","","-8.8","","-6.5","","24.5","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-01","2021","02","01","","-2.0","","-9.6","","-5.8","","23.8","","0.0","","","","","","0.0","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-02","2021","02","02","","0.0","","-7.7","","-3.9","","21.9","","0.0","","","","","","0.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-03","2021","02","03","","1.0","","-5.9","","-2.5","","20.5","","0.0","","","","","","0.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-04","2021","02","04","","4.0","","-3.9","","0.1","","17.9","","0.0","","","","","","0.9","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-05","2021","02","05","","3.1","","-6.6","","-1.7","","19.7","","0.0","","","","","","2.3","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-06","2021","02","06","","-5.1","","-8.1","","-6.6","","24.6","","0.0","","","","","","0.0","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-07","2021","02","07","","-5.2","","-11.6","","-8.4","","26.4","","0.0","","","","","","0.8","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-08","2021","02","08","","-5.7","","-11.7","","-8.7","","26.7","","0.0","","","","","","0.2","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-09","2021","02","09","","-2.4","","-8.8","","-5.6","","23.6","","0.0","","","","","","0.3","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-10","2021","02","10","","-4.2","","-10.1","","-7.2","","25.2","","0.0","","","","","","0.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-11","2021","02","11","","-2.8","","-9.8","","-6.3","","24.3","","0.0","","","","","","0.0","","3","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-12","2021","02","12","","-8.1","","-13.5","","-10.8","","28.8","","0.0","","","","","","0.3","","2","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-13","2021","02","13","","-8.6","","-11.8","","-10.2","","28.2","","0.0","","","","","","1.6","","4","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-14","2021","02","14","","-3.0","","-11.2","","-7.1","","25.1","","0.0","","","","","","0.0","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-15","2021","02","15","","-2.8","","-8.4","","-5.6","","23.6","","0.0","","","","","","5.4","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-16","2021","02","16","","-6.4","","-12.0","","-9.2","","27.2","","0.0","","","","","","5.5","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-17","2021","02","17","","-2.5","","-12.7","","-7.6","","25.6","","0.0","","","","","","0.0","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-18","2021","02","18","","-2.6","","-6.2","","-4.4","","22.4","","0.0","","","","","","3.7","","13","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-19","2021","02","19","","-1.7","","-5.6","","-3.6","","21.6","","0.0","","","","","","2.4","","19","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-20","2021","02","20","","-0.9","","-7.3","","-4.1","","22.1","","0.0","","","","","","0.0","","20","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-21","2021","02","21","","0.1","","-8.5","","-4.2","","22.2","","0.0","","","","","","0.0","","18","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-22","2021","02","22","","3.5","","-0.3","","1.6","","16.4","","0.0","","","","","","7.7","","20","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-23","2021","02","23","","5.3","","0.2","","2.7","","15.3","","0.0","","","","","","0.5","","16","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-24","2021","02","24","","9.1","","0.7","","4.9","","13.1","","0.0","","","","","","0.0","","14","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-25","2021","02","25","","2.2","","-2.6","","-0.2","","18.2","","0.0","","","","","","0.0","","9","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-26","2021","02","26","","3.3","","-3.8","","-0.3","","18.3","","0.0","","","","","","0.0","","8","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-27","2021","02","27","","6.4","","1.0","","3.7","","14.3","","0.0","","","","","","6.5","","7","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-02-28","2021","02","28","","7.3","","0.8","","4.1","","13.9","","0.0","","","","","","1.3","","6","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-01","2021","03","01","","6.5","","-9.6","","-1.5","","19.5","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-02","2021","03","02","","1.0","","-12.8","","-5.9","","23.9","","0.0","","","","","","0.0","","1","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-03","2021","03","03","","8.0","","-0.7","","3.6","","14.4","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-04","2021","03","04","","1.8","","-7.0","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-05","2021","03","05","","1.7","","-8.8","","-3.6","","21.6","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-06","2021","03","06","","-0.9","","-6.6","","-3.8","","21.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-07","2021","03","07","","0.0","","-7.8","","-3.9","","21.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-08","2021","03","08","","9.4","","-6.4","","1.5","","16.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-03-09","2021","03","09","","10.7","","1.2","","6.0","","12.0","","0.0","","","","","","0.0","","","","","M","","M"
